Date,Open,High,Low,Close*,Adj Close**,Volume
29-Mar-22,"35,114.35","35,372.26","35,030.07","35,294.19","35,294.19","355,050,000"
28-Mar-22,"34,833.03","34,957.93","34,552.23","34,955.89","34,955.89","299,790,000"
25-Mar-22,"34,702.39","34,942.70","34,631.52","34,861.24","34,861.24","285,440,000"
24-Mar-22,"34,406.81","34,713.56","34,355.42","34,707.94","34,707.94","324,870,000"
23-Mar-22,"34,748.84","34,748.84","34,352.96","34,358.50","34,358.50","347,880,000"
22-Mar-22,"34,583.24","34,882.03","34,583.24","34,807.46","34,807.46","368,550,000"
21-Mar-22,"34,669.85","34,808.28","34,341.81","34,552.99","34,552.99","408,490,000"
18-Mar-22,"34,466.72","34,755.20","34,279.83","34,754.93","34,754.93","615,420,000"
17-Mar-22,"33,995.39","34,483.92","33,896.06","34,480.76","34,480.76","339,470,000"
16-Mar-22,"33,653.93","34,075.94","33,391.24","34,063.10","34,063.10","427,400,000"
15-Mar-22,"32,989.27","33,620.84","32,989.27","33,544.34","33,544.34","388,810,000"
14-Mar-22,"33,000.37","33,395.59","32,818.16","32,945.24","32,945.24","394,940,000"
11-Mar-22,"33,279.72","33,515.61","32,911.89","32,944.19","32,944.19","369,480,000"
10-Mar-22,"33,106.77","33,236.59","32,819.76","33,174.07","33,174.07","399,480,000"
9-Mar-22,"32,860.42","33,457.28","32,860.42","33,286.25","33,286.25","418,670,000"
8-Mar-22,"32,885.17","33,402.98","32,578.73","32,632.64","32,632.64","553,750,000"
7-Mar-22,"33,579.75","33,579.75","32,806.15","32,817.38","32,817.38","488,400,000"
4-Mar-22,"33,655.43","33,655.43","33,254.12","33,614.80","33,614.80","408,390,000"
3-Mar-22,"33,972.87","34,179.07","33,641.53","33,794.66","33,794.66","369,740,000"
2-Mar-22,"33,379.51","34,013.67","33,379.51","33,891.35","33,891.35","400,920,000"
1-Mar-22,"33,813.48","33,870.14","33,107.67","33,294.95","33,294.95","438,730,000"
28-Feb-22,"33,870.62","33,963.63","33,469.31","33,892.60","33,892.60","443,460,000"
25-Feb-22,"33,277.22","34,095.74","33,277.22","34,058.75","34,058.75","417,630,000"
24-Feb-22,"32,830.33","33,269.34","32,272.64","33,223.83","33,223.83","590,850,000"
23-Feb-22,"33,680.97","33,832.59","33,084.90","33,131.76","33,131.76","370,600,000"
22-Feb-22,"33,974.09","34,024.74","33,364.29","33,596.61","33,596.61","432,090,000"
18-Feb-22,"34,310.45","34,423.58","33,976.18","34,079.18","34,079.18","414,080,000"
17-Feb-22,"34,858.47","34,858.47","34,246.23","34,312.03","34,312.03","348,720,000"
16-Feb-22,"34,951.83","35,042.09","34,642.64","34,934.27","34,934.27","294,410,000"
15-Feb-22,"34,686.19","35,047.79","34,686.19","34,988.84","34,988.84","305,670,000"
14-Feb-22,"34,694.50","34,744.56","34,304.28","34,566.17","34,566.17","370,320,000"
11-Feb-22,"35,267.89","35,431.15","34,620.52","34,738.06","34,738.06","398,860,000"
10-Feb-22,"35,630.81","35,800.24","35,100.72","35,241.59","35,241.59","411,620,000"
9-Feb-22,"35,614.90","35,824.28","35,614.90","35,768.06","35,768.06","333,610,000"
8-Feb-22,"35,160.68","35,544.89","35,090.42","35,462.78","35,462.78","319,190,000"
7-Feb-22,"35,108.38","35,325.01","34,993.98","35,091.13","35,091.13","328,910,000"
4-Feb-22,"35,095.74","35,333.55","34,799.08","35,089.74","35,089.74","349,880,000"
3-Feb-22,"35,520.08","35,535.94","35,071.06","35,111.16","35,111.16","381,020,000"
2-Feb-22,"35,378.19","35,679.20","35,290.12","35,629.33","35,629.33","359,540,000"
1-Feb-22,"35,151.47","35,441.09","34,977.95","35,405.24","35,405.24","386,080,000"
31-Jan-22,"34,691.17","35,148.14","34,496.10","35,131.86","35,131.86","468,070,000"
28-Jan-22,"34,135.24","34,731.77","33,807.51","34,725.47","34,725.47","568,440,000"
